Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  0.0  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  0.0  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  0.0  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  36.8421052631579  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  36.8421052631579  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  36.8421052631579  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  73.6842105263158  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  73.6842105263158  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  73.6842105263158  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  110.5263157894737  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  110.5263157894737  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  110.5263157894737  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  147.3684210526316  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  147.3684210526316  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  147.3684210526316  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  184.21052631578948  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  184.21052631578948  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  184.21052631578948  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  221.0526315789474  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  221.0526315789474  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  221.0526315789474  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  257.89473684210526  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  257.89473684210526  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  257.89473684210526  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  294.7368421052632  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  294.7368421052632  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  294.7368421052632  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  331.5789473684211  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  331.5789473684211  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  331.5789473684211  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  368.42105263157896  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  368.42105263157896  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  368.42105263157896  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  405.2631578947369  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  405.2631578947369  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  405.2631578947369  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  442.1052631578948  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  442.1052631578948  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  442.1052631578948  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  478.94736842105266  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  478.94736842105266  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  478.94736842105266  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  515.7894736842105  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  515.7894736842105  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  515.7894736842105  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  552.6315789473684  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  552.6315789473684  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  552.6315789473684  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  589.4736842105264  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  589.4736842105264  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  589.4736842105264  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  626.3157894736843  ,  0.20000000000000312  )
