Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  100.0  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  110.52631578947368  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  121.05263157894737  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  131.57894736842104  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  142.10526315789474  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  152.63157894736844  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  163.1578947368421  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  173.68421052631578  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  184.21052631578948  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  194.73684210526318  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  205.26315789473685  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  215.78947368421052  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  226.31578947368422  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  236.84210526315792  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  247.3684210526316  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  257.89473684210526  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  268.42105263157896  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  278.94736842105266  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  289.47368421052636  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  300.0  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 3  ,  0.0  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 3  ,  2.7777777777777777  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 3  ,  5.555555555555555  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 3  ,  8.333333333333332  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 3  ,  11.11111111111111  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 3  ,  13.88888888888889  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 3  ,  16.666666666666664  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 3  ,  19.444444444444443  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 3  ,  22.22222222222222  ,  0.20000000000000312  )
