Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 3  ,  10.0  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 3  ,  14.444444444444445  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 3  ,  18.88888888888889  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 3  ,  23.333333333333336  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 3  ,  27.77777777777778  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 3  ,  32.22222222222222  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 3  ,  36.66666666666667  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 3  ,  41.111111111111114  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 3  ,  45.55555555555556  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 3  ,  50.0  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 24  ,  200.0  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 24  ,  211.11111111111111  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 24  ,  222.22222222222223  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 24  ,  233.33333333333331  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 24  ,  244.44444444444446  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 24  ,  255.55555555555554  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 24  ,  266.66666666666663  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 24  ,  277.77777777777777  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 24  ,  288.8888888888889  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 24  ,  300.0  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 50  ,  500.0  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 50  ,  511.1111111111111  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 50  ,  522.2222222222222  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 50  ,  533.3333333333334  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 50  ,  544.4444444444445  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 50  ,  555.5555555555555  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 50  ,  566.6666666666666  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 50  ,  577.7777777777778  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 50  ,  588.8888888888889  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14f45fcc6700>  (PXe,PAr,f)  ( 50  ,  600.0  ,  0.7500000000000072  )
