Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  10.0  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  11.025641025641026  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  12.051282051282051  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  13.076923076923077  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  14.102564102564102  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  15.128205128205128  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  16.153846153846153  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  17.17948717948718  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  18.205128205128204  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  19.23076923076923  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  20.256410256410255  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  21.28205128205128  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  22.307692307692307  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  23.333333333333332  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  24.358974358974358  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  25.384615384615383  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  26.41025641025641  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  27.435897435897434  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  28.46153846153846  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  29.487179487179485  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  30.51282051282051  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  31.538461538461537  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  32.56410256410256  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  33.58974358974359  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  34.61538461538461  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  35.641025641025635  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  36.666666666666664  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  37.69230769230769  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  38.717948717948715  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  39.74358974358974  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  40.76923076923077  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  41.794871794871796  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  42.82051282051282  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  43.84615384615384  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  44.87179487179487  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  45.8974358974359  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  46.92307692307692  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  47.94871794871794  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  48.97435897435897  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 3  ,  50.0  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  200.0  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  201.010101010101  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  202.02020202020202  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  203.03030303030303  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  204.04040404040404  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  205.05050505050505  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  206.06060606060606  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  207.07070707070707  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  208.08080808080808  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  209.0909090909091  ,  0.7500000000000072  )
