Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 3  ,  28  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 24  ,  28  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 50  ,  28  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 3  ,  32  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 24  ,  32  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 50  ,  32  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 3  ,  34  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 24  ,  34  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 50  ,  34  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 3  ,  37  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 24  ,  37  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 50  ,  37  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 3  ,  42  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 24  ,  42  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 50  ,  42  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 3  ,  43  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 24  ,  43  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 50  ,  43  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 3  ,  44  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 24  ,  44  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 50  ,  44  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 3  ,  45  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 24  ,  45  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 50  ,  45  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 3  ,  50  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 24  ,  50  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 50  ,  50  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 3  ,  60  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 24  ,  60  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 50  ,  60  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 3  ,  70  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 24  ,  70  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 50  ,  70  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 3  ,  90  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 24  ,  90  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 50  ,  90  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 3  ,  80  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 24  ,  80  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 50  ,  80  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 3  ,  95  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 24  ,  95  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 50  ,  95  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 3  ,  100  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 24  ,  100  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 50  ,  100  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x1497c377a700>  (PXe,PAr,f)  ( 3  ,  105  ,  0.20000000000000312  )
